delivery_id,order_id,partner_id,delivery_status,delivery_time
1,1001,77,Delivered,40
2,1002,96,Delivered,47
3,1003,25,Delivered,28
4,1004,73,Picked Up,56
5,1005,95,Cancelled,38
6,1006,97,Assigned,27
7,1007,50,Cancelled,15
8,1008,15,Assigned,33
9,1009,12,Delivered,55
10,1010,59,Delivered,41
11,1011,50,Delivered,50
12,1012,100,Delivered,57
13,1013,30,Delivered,17
14,1014,91,Assigned,46
15,1015,69,Delivered,43
16,1016,18,Delivered,57
17,1017,18,Delivered,29
18,1018,82,Picked Up,28
19,1019,71,Assigned,21
20,1020,9,Delivered,15
21,1021,98,Assigned,54
22,1022,55,Delivered,45
23,1023,55,Delivered,43
24,1024,21,Delivered,27
25,1025,83,Delivered,29
26,1026,38,Cancelled,31
27,1027,65,Delivered,39
28,1028,47,Delivered,45
29,1029,1,Delivered,55
30,1030,13,Assigned,55
31,1031,90,Delivered,37
32,1032,52,Picked Up,35
33,1033,63,Cancelled,33
34,1034,25,Assigned,41
35,1035,63,Delivered,17
36,1036,41,Delivered,40
37,1037,58,Delivered,53
38,1038,32,Delivered,40
39,1039,33,Picked Up,53
40,1040,1,Assigned,36
41,1041,35,Delivered,50
42,1042,84,Assigned,46
43,1043,96,Delivered,60
44,1044,85,Delivered,37
45,1045,67,Assigned,42
46,1046,69,Delivered,18
47,1047,21,Delivered,28
48,1048,13,Delivered,52
49,1049,23,Delivered,41
50,1050,17,Delivered,32
51,1051,64,Cancelled,47
52,1052,7,Picked Up,17
53,1053,73,Delivered,48
54,1054,7,Delivered,15
55,1055,12,Cancelled,33
56,1056,50,Delivered,35
57,1057,78,Cancelled,44
58,1058,99,Picked Up,15
59,1059,6,Delivered,19
60,1060,75,Picked Up,18
61,1061,5,Delivered,28
62,1062,67,Assigned,35
63,1063,33,Delivered,43
64,1064,98,Picked Up,29
65,1065,81,Delivered,46
66,1066,37,Delivered,40
67,1067,97,Assigned,29
68,1068,74,Picked Up,17
69,1069,71,Assigned,32
70,1070,14,Delivered,21
71,1071,74,Assigned,35
72,1072,74,Delivered,46
73,1073,9,Assigned,29
74,1074,19,Delivered,27
75,1075,2,Delivered,33
76,1076,17,Picked Up,49
77,1077,82,Delivered,56
78,1078,91,Delivered,37
79,1079,81,Delivered,21
80,1080,12,Assigned,56
81,1081,6,Delivered,37
82,1082,77,Delivered,15
83,1083,74,Delivered,25
84,1084,85,Assigned,33
85,1085,9,Cancelled,26
86,1086,41,Assigned,43
87,1087,80,Assigned,52
88,1088,5,Picked Up,58
89,1089,30,Cancelled,23
90,1090,32,Assigned,49
91,1091,91,Delivered,58
92,1092,54,Delivered,39
93,1093,56,Delivered,55
94,1094,50,Cancelled,25
95,1095,94,Assigned,51
96,1096,41,Cancelled,19
97,1097,26,Cancelled,34
98,1098,3,Picked Up,28
99,1099,73,Assigned,45
100,1100,71,Delivered,49
101,1101,60,Delivered,33
102,1102,86,Picked Up,56
103,1103,25,Delivered,48
104,1104,13,Assigned,27
105,1105,53,Delivered,25
106,1106,89,Cancelled,51
107,1107,86,Delivered,55
108,1108,80,Cancelled,58
109,1109,58,Picked Up,15
110,1110,24,Delivered,39
111,1111,32,Assigned,25
112,1112,1,Delivered,22
113,1113,45,Delivered,50
114,1114,11,Assigned,35
115,1115,16,Delivered,29
116,1116,14,Delivered,45
117,1117,66,Delivered,18
118,1118,44,Delivered,43
119,1119,52,Cancelled,43
120,1120,64,Delivered,52
121,1121,18,Picked Up,57
122,1122,72,Assigned,53
123,1123,18,Cancelled,17
124,1124,30,Delivered,24
125,1125,68,Delivered,35
126,1126,57,Delivered,17
127,1127,46,Assigned,54
128,1128,97,Delivered,30
129,1129,87,Cancelled,15
130,1130,27,Delivered,15
131,1131,49,Delivered,46
132,1132,68,Delivered,22
133,1133,77,Cancelled,56
134,1134,22,Delivered,53
135,1135,61,Picked Up,26
136,1136,49,Delivered,36
137,1137,97,Delivered,19
138,1138,25,Delivered,33
139,1139,74,Cancelled,41
140,1140,62,Delivered,59
141,1141,47,Delivered,59
142,1142,96,Delivered,35
143,1143,30,Delivered,37
144,1144,98,Delivered,37
145,1145,57,Picked Up,34
146,1146,39,Picked Up,48
147,1147,69,Delivered,35
148,1148,18,Picked Up,41
149,1149,84,Cancelled,53
150,1150,74,Delivered,60
151,1151,15,Cancelled,48
152,1152,47,Delivered,21
153,1153,15,Delivered,42
154,1154,61,Delivered,29
155,1155,70,Cancelled,37
156,1156,10,Delivered,44
157,1157,55,Delivered,41
158,1158,64,Delivered,56
159,1159,48,Delivered,57
160,1160,53,Cancelled,49
161,1161,2,Assigned,49
162,1162,26,Assigned,28
163,1163,9,Cancelled,52
164,1164,29,Delivered,42
165,1165,42,Picked Up,18
166,1166,23,Cancelled,46
167,1167,41,Assigned,42
168,1168,7,Delivered,55
169,1169,39,Picked Up,37
170,1170,49,Delivered,59
171,1171,31,Cancelled,28
172,1172,100,Assigned,51
173,1173,20,Delivered,34
174,1174,80,Delivered,23
175,1175,36,Cancelled,35
176,1176,58,Delivered,36
177,1177,10,Delivered,36
