Quantity,order_id,item_id
3,1001,304
2,1001,367
1,1001,253
4,1001,110
4,1002,349
5,1003,344
1,1003,293
1,1003,339
2,1003,399
4,1004,380
5,1004,256
1,1004,214
2,1004,188
3,1005,225
3,1006,136
2,1006,142
1,1007,256
2,1007,316
4,1007,331
4,1007,188
5,1008,368
5,1008,129
3,1008,153
3,1009,190
4,1009,276
5,1009,286
4,1009,268
5,1010,342
3,1010,377
2,1010,134
4,1010,154
1,1011,158
4,1012,354
4,1012,184
2,1012,333
1,1013,168
1,1013,189
1,1014,398
1,1015,178
2,1015,201
4,1015,286
5,1015,186
2,1016,373
3,1016,151
5,1016,134
1,1017,135
4,1018,267
2,1018,366
3,1018,276
4,1018,119
5,1019,345
3,1019,331
5,1019,280
3,1019,161
1,1020,302
1,1021,241
4,1021,375
4,1021,305
3,1021,304
4,1022,281
4,1022,382
1,1022,231
1,1022,271
5,1023,204
3,1023,281
4,1024,359
4,1024,309
3,1025,360
4,1025,257
1,1026,289
5,1026,164
4,1026,247
5,1026,333
4,1027,138
5,1027,196
2,1027,335
5,1027,112
4,1028,187
4,1029,243
5,1029,142
4,1029,241
3,1030,194
3,1030,169
1,1030,396
5,1031,296
2,1032,138
3,1033,365
5,1033,321
1,1033,169
4,1034,289
1,1034,350
4,1034,229
3,1035,142
4,1035,361
3,1035,358
2,1036,128
2,1037,181
3,1037,209
1,1038,262
1,1039,272
3,1039,379
2,1039,273
5,1040,364
1,1041,142
4,1041,233
4,1041,227
3,1042,293
1,1042,182
4,1042,326
5,1042,183
3,1043,293
5,1044,187
4,1044,213
3,1044,165
5,1044,131
4,1045,241
2,1046,390
4,1047,384
5,1047,392
3,1047,189
5,1048,110
3,1048,243
4,1049,292
2,1049,117
4,1049,131
5,1050,180
3,1051,354
3,1051,139
3,1052,140
2,1053,157
5,1053,368
1,1053,221
5,1053,274
5,1054,133
3,1055,223
1,1055,112
5,1055,382
4,1056,390
2,1056,121
3,1056,280
1,1056,157
5,1057,208
3,1057,289
4,1057,241
2,1058,347
4,1058,244
4,1058,218
5,1059,306
5,1059,204
4,1059,105
1,1060,334
5,1060,232
5,1061,297
4,1061,197
4,1062,149
3,1062,390
5,1063,152
1,1063,300
5,1063,280
2,1063,225
4,1064,214
2,1064,327
2,1064,395
3,1065,373
4,1065,284
3,1066,329
1,1066,363
2,1066,162
4,1066,276
3,1067,233
2,1067,391
3,1067,318
4,1068,120
2,1068,232
2,1069,204
1,1070,148
2,1070,239
4,1071,337
4,1071,339
5,1071,298
4,1072,375
1,1072,101
2,1072,385
2,1072,270
2,1073,179
1,1073,250
3,1073,243
5,1074,281
2,1074,392
1,1074,252
1,1075,195
1,1075,311
1,1075,350
3,1075,390
1,1076,230
4,1076,237
3,1076,345
4,1077,181
2,1078,363
1,1078,375
5,1079,319
4,1080,291
1,1080,295
2,1080,304
3,1081,267
5,1082,372
4,1082,347
2,1082,219
2,1083,284
2,1083,359
1,1083,128
2,1083,124
3,1084,327
4,1084,365
3,1085,371
5,1085,167
1,1085,226
4,1085,383
1,1086,361
3,1086,329
5,1086,176
4,1087,171
2,1087,397
3,1087,261
2,1087,344
4,1088,254
3,1088,302
3,1088,112
5,1089,350
1,1090,151
3,1091,310
5,1091,339
3,1092,372
3,1092,399
1,1092,285
5,1092,354
4,1093,142
4,1093,200
4,1094,156
3,1095,268
1,1095,148
2,1095,300
2,1096,116
2,1096,347
4,1096,185
4,1097,355
1,1097,224
3,1097,195
4,1098,348
4,1099,285
3,1099,266
4,1099,125
1,1099,333
3,1100,162
5,1100,364
3,1101,236
5,1102,157
5,1102,159
3,1102,174
4,1102,284
1,1103,114
4,1104,325
2,1104,220
4,1105,368
3,1106,166
3,1106,247
1,1107,394
2,1108,225
5,1108,300
5,1109,351
4,1109,265
4,1110,362
4,1110,342
2,1110,395
2,1111,145
5,1111,312
3,1111,134
2,1112,320
1,1112,163
4,1112,258
2,1113,194
4,1113,190
4,1113,235
1,1114,254
1,1114,302
1,1115,352
4,1115,379
3,1116,192
2,1116,118
4,1117,292
5,1118,376
3,1118,231
2,1118,363
1,1118,281
2,1119,330
5,1119,148
1,1119,317
5,1120,383
4,1121,181
4,1121,202
1,1121,383
2,1121,270
2,1122,114
3,1122,389
4,1123,126
4,1123,310
2,1123,267
2,1124,383
5,1124,161
2,1124,230
3,1124,242
4,1125,121
2,1125,256
2,1126,158
1,1126,355
3,1126,255
3,1126,260
5,1127,346
4,1127,103
3,1128,194
5,1128,144
1,1129,116
1,1129,313
4,1129,173
2,1129,318
4,1130,101
2,1130,119
4,1130,373
5,1131,379
3,1131,290
1,1131,129
1,1131,169
1,1132,274
2,1133,239
4,1133,338
3,1133,385
1,1134,333
5,1135,220
5,1135,145
4,1135,130
4,1136,393
3,1136,231
2,1136,357
5,1137,204
3,1138,246
2,1138,400
3,1139,171
4,1139,295
2,1139,199
1,1139,390
5,1140,282
4,1140,256
2,1140,388
1,1141,379
3,1141,179
1,1141,321
4,1142,223
3,1142,400
4,1143,124
3,1143,308
3,1143,340
5,1144,212
3,1144,256
4,1144,276
3,1145,218
4,1145,277
5,1146,302
4,1146,264
2,1147,273
1,1148,389
2,1148,124
1,1149,333
4,1149,392
2,1150,238
4,1150,209
4,1150,341
4,1151,133
4,1152,390
5,1153,164
4,1153,381
4,1153,334
1,1154,284
2,1154,309
1,1154,332
3,1154,208
2,1155,383
2,1156,135
2,1156,161
5,1156,205
5,1157,353
5,1157,115
2,1157,217
5,1158,161
4,1159,134
1,1159,202
4,1160,326
1,1160,355
1,1161,298
3,1161,338
1,1161,196
3,1162,146
5,1162,292
1,1162,128
3,1162,126
1,1163,345
1,1163,261
4,1164,353
4,1164,273
3,1164,118
5,1164,348
3,1165,224
5,1166,271
3,1167,317
5,1167,214
2,1167,376
2,1167,174
3,1168,173
1,1169,110
1,1169,375
5,1169,173
1,1170,271
4,1170,239
3,1170,341
2,1170,134
4,1171,361
1,1171,317
2,1172,123
4,1173,388
4,1173,165
2,1174,253
1,1174,175
3,1174,221
4,1175,164
3,1175,336
5,1175,362
2,1175,340
1,1176,190
3,1176,381
5,1176,193
4,1177,162
4,1177,360
4,1178,225
3,1178,330
5,1178,159
5,1178,396
1,1179,191
4,1179,156
3,1179,175
5,1179,283
4,1180,283
4,1180,147
1,1181,217
4,1182,238
2,1182,202
2,1182,182
5,1183,134
5,1183,324
1,1183,336
3,1183,254
4,1184,241
1,1184,222
4,1184,285
3,1184,131
2,1185,125
3,1185,214
5,1186,378
4,1186,345
5,1187,266
1,1187,186
5,1187,223
1,1188,164
5,1189,156
4,1190,259
1,1190,266
4,1190,144
5,1190,238
3,1191,191
3,1191,207
5,1191,199
5,1192,358
1,1193,233
2,1194,208
2,1194,372
4,1194,268
1,1194,236
4,1195,102
3,1196,373
5,1196,303
4,1196,138
5,1197,350
3,1197,280
3,1197,384
2,1197,328
2,1198,179
1,1198,219
1,1199,311
4,1199,396
5,1199,154
1,1200,295
1,1201,150
1,1201,365
2,1201,104
4,1201,241
4,1202,265
5,1202,140
4,1202,286
3,1202,345
4,1203,185
3,1203,302
1,1203,304
2,1204,169
1,1204,361
1,1205,126
1,1205,155
1,1206,382
2,1206,225
2,1207,132
2,1207,370
4,1207,268
5,1207,224
1,1208,202
3,1208,363
2,1209,236
4,1209,144
4,1209,174
1,1209,278
2,1210,154
4,1211,385
4,1211,168
1,1212,359
4,1212,305
5,1212,128
2,1212,186
3,1213,157
5,1213,340
1,1214,282
3,1214,288
1,1214,203
1,1214,247
4,1215,292
4,1215,229
5,1215,231
5,1215,225
1,1216,272
4,1216,259
4,1216,196
5,1217,332
5,1217,122
5,1217,164
4,1217,372
1,1218,137
5,1218,333
4,1219,312
5,1220,270
1,1220,177
3,1220,378
4,1221,326
1,1221,172
4,1221,154
5,1221,242
4,1222,119
4,1222,167
1,1222,394
3,1223,339
2,1223,215
3,1224,346
4,1224,325
2,1224,185
5,1224,212
5,1225,222
3,1225,333
2,1226,345
3,1226,395
4,1226,304
4,1226,108
4,1227,219
2,1227,129
5,1227,337
3,1228,139
1,1228,400
2,1229,161
2,1229,395
2,1229,167
2,1229,139
1,1230,309
4,1230,251
4,1230,285
3,1230,172
2,1231,373
5,1231,297
1,1232,133
3,1233,236
3,1233,366
2,1233,302
5,1234,223
1,1234,272
3,1235,266
1,1236,202
5,1236,300
2,1236,195
1,1236,133
4,1237,230
3,1237,247
3,1238,273
1,1238,108
5,1238,136
2,1239,316
5,1239,327
5,1239,170
1,1240,158
4,1241,227
1,1241,392
1,1241,199
5,1241,373
5,1242,354
5,1243,355
2,1244,365
2,1245,122
2,1246,363
3,1246,367
4,1246,303
1,1247,256
2,1247,352
3,1247,348
3,1247,382
1,1248,300
2,1248,185
4,1249,319
1,1249,214
2,1249,119
4,1249,169
3,1250,258
5,1250,244
2,1250,382
3,1251,196
4,1252,153
3,1252,135
2,1252,304
5,1253,141
4,1253,253
2,1254,285
4,1254,338
4,1255,189
4,1255,367
5,1255,123
3,1255,145
4,1256,186
1,1257,249
5,1257,353
1,1258,392
3,1259,349
4,1259,332
2,1259,116
1,1260,265
4,1260,216
1,1260,332
2,1260,353
5,1261,304
4,1262,120
4,1262,216
5,1262,131
3,1263,376
3,1263,205
1,1263,369
5,1264,227
5,1264,134
2,1264,192
4,1265,199
2,1265,398
5,1265,219
5,1265,145
3,1266,278
4,1266,262
2,1266,290
3,1266,304
1,1267,141
4,1268,394
2,1268,237
5,1268,116
2,1269,137
1,1269,307
5,1269,183
5,1270,276
3,1270,134
2,1270,198
1,1271,116
2,1272,233
3,1272,270
4,1272,235
1,1273,300
3,1274,329
5,1274,287
3,1274,191
1,1275,391
4,1276,313
5,1277,116
1,1277,183
4,1277,189
2,1278,169
5,1278,297
5,1278,243
3,1279,161
3,1279,277
5,1280,166
2,1280,121
4,1280,243
1,1281,110
3,1281,222
3,1282,191
4,1282,204
2,1283,343
4,1284,165
1,1284,120
1,1284,319
1,1284,212
2,1285,295
4,1285,252
2,1285,343
4,1285,106
