Order_id,customer_id,restaurant_id,Order_Date
1001,311,26,2025-08-14
1002,181,8,2026-05-18
1003,326,7,2026-01-10
1004,318,9,2025-12-11
1005,348,25,2026-07-08
1006,370,25,2026-05-10
1007,338,22,2026-02-10
1008,430,5,2026-06-27
1009,322,4,2026-06-07
1010,463,21,2025-12-07
1011,331,2,2025-08-21
1012,159,26,2025-11-01
1013,226,2,2025-09-09
1014,297,12,2026-02-08
1015,375,5,2025-08-14
1016,47,30,2026-04-26
1017,152,11,2026-04-12
1018,383,14,2025-10-26
1019,90,7,2026-02-17
1020,68,26,2025-11-23
1021,277,29,2025-09-21
1022,498,12,2026-02-10
1023,272,17,2026-01-11
1024,468,9,2025-08-10
1025,426,6,2026-05-19
1026,132,30,2025-07-19
1027,423,16,2026-04-25
1028,496,26,2026-04-17
1029,152,24,2025-10-18
1030,446,11,2026-05-17
1031,412,4,2025-12-30
1032,240,3,2026-06-30
1033,73,25,2025-11-06
1034,495,8,2025-12-29
1035,441,22,2025-09-17
1036,371,22,2025-07-22
1037,204,28,2026-06-20
1038,412,18,2025-08-30
1039,188,3,2026-01-05
1040,405,13,2026-02-04
1041,8,9,2026-01-01
1042,275,4,2026-02-13
1043,233,12,2026-02-07
1044,345,24,2026-06-10
1045,345,9,2026-02-18
1046,300,13,2026-04-01
1047,422,21,2025-12-20
1048,482,12,2025-07-22
1049,56,22,2025-10-20
1050,120,16,2026-05-14
1051,13,20,2026-04-26
1052,453,18,2025-08-06
1053,168,30,2026-02-28
1054,313,8,2026-03-23
1055,332,3,2026-02-24
1056,326,27,2025-10-03
1057,238,30,2026-03-31
1058,359,10,2026-02-02
1059,333,14,2026-05-15
1060,60,5,2025-10-05
1061,24,2,2025-09-19
1062,156,16,2026-02-01
1063,60,4,2026-06-28
1064,121,29,2025-08-19
1065,276,5,2025-07-18
1066,199,15,2025-09-10
1067,190,22,2025-10-04
1068,487,24,2026-01-01
1069,357,18,2025-10-13
1070,215,19,2025-12-07
1071,381,24,2026-03-04
1072,80,29,2025-12-22
1073,213,21,2025-08-29
1074,51,27,2025-08-04
1075,251,20,2025-10-21
1076,209,9,2025-11-01
1077,17,23,2026-06-06
1078,190,7,2025-12-20
1079,228,15,2025-10-26
1080,487,8,2025-12-04
1081,438,12,2025-09-22
1082,51,22,2025-12-02
1083,189,18,2025-08-19
1084,462,21,2025-08-03
1085,184,2,2025-08-05
1086,204,9,2026-03-26
1087,98,4,2026-07-11
1088,486,28,2026-04-07
1089,422,15,2025-12-20
1090,47,22,2026-04-13
1091,109,21,2026-07-11
1092,328,20,2026-03-10
1093,498,1,2026-01-11
1094,26,26,2026-07-08
1095,171,8,2026-06-05
1096,65,26,2026-05-08
1097,290,7,2025-08-24
1098,36,27,2026-04-23
1099,392,18,2025-09-22
1100,107,19,2026-01-04
1101,111,27,2025-11-28
1102,446,8,2025-09-15
1103,169,25,2026-05-02
1104,76,26,2026-04-28
1105,462,20,2025-07-28
1106,2,9,2025-09-29
1107,440,5,2026-01-19
1108,67,18,2026-06-09
1109,129,26,2025-10-30
1110,90,4,2025-10-16
1111,339,28,2026-04-18
1112,14,5,2026-01-17
1113,8,12,2026-07-05
1114,405,26,2026-06-26
1115,122,19,2025-12-21
1116,166,1,2025-11-14
1117,90,9,2025-12-15
1118,27,5,2025-11-30
1119,380,14,2026-05-21
1120,270,4,2026-02-02
1121,382,3,2025-11-23
