payment_id,order_id,payment_date,amount,payment_method,payment_status
1,1001,2026-06-09,2884,Cash,Failed
2,1002,2026-03-12,588,Debit Card,Success
3,1003,2026-01-27,2733,UPI,Success
4,1004,2025-11-25,4085,UPI,Failed
5,1005,2025-12-31,1140,Cash,Success
6,1006,2025-12-13,1189,UPI,Success
7,1007,2026-01-05,2642,Debit Card,Success
8,1008,2025-08-01,2890,Credit Card,Success
9,1009,2025-10-23,4764,Debit Card,Success
10,1010,2026-03-13,4232,Debit Card,Success
11,1011,2026-01-03,484,Debit Card,Success
12,1012,2026-02-27,3414,Credit Card,Pending
13,1013,2025-08-05,607,Credit Card,Success
14,1014,2025-12-21,389,UPI,Pending
15,1015,2026-01-25,2821,UPI,Failed
16,1016,2025-12-13,2085,Credit Card,Pending
17,1017,2026-02-06,374,Cash,Success
18,1018,2025-10-17,4703,Credit Card,Failed
19,1019,2026-03-08,4931,UPI,Success
20,1020,2026-06-17,325,Debit Card,Pending
21,1021,2026-06-22,4086,Cash,Failed
22,1022,2026-04-16,3152,Debit Card,Failed
23,1023,2026-03-07,3007,UPI,Failed
24,1024,2025-10-07,2760,Cash,Pending
25,1025,2025-12-11,2336,UPI,Success
26,1026,2025-10-21,4938,Cash,Success
27,1027,2025-12-21,5640,Credit Card,Pending
28,1028,2025-12-20,1340,Debit Card,Success
29,1029,2026-07-10,3709,Cash,Success
30,1030,2025-12-16,1427,Cash,Failed
31,1031,2025-11-22,995,Credit Card,Success
32,1032,2026-02-11,762,Credit Card,Success
33,1033,2025-09-29,2827,Cash,Success
34,1034,2025-10-02,2642,Credit Card,Success
35,1035,2026-04-02,3175,Credit Card,Pending
36,1036,2026-04-08,784,Cash,Success
37,1037,2026-03-04,1336,Debit Card,Success
38,1038,2026-02-13,138,UPI,Success
39,1039,2026-04-13,2595,Cash,Success
40,1040,2026-03-14,2485,Cash,Success
41,1041,2025-11-06,4085,Credit Card,Success
42,1042,2026-03-05,5669,UPI,Pending
43,1043,2026-01-18,1470,UPI,Pending
44,1044,2025-08-02,5234,Debit Card,Success
45,1045,2025-09-18,956,UPI,Success
46,1046,2026-04-20,892,Credit Card,Failed
47,1047,2025-07-14,4415,Credit Card,Success
48,1048,2025-12-07,2776,Cash,Success
49,1049,2026-05-28,3104,UPI,Success
50,1050,2026-04-30,1930,Debit Card,Pending
51,1051,2025-10-05,2274,Debit Card,Pending
52,1052,2025-10-24,1455,UPI,Success
53,1053,2026-03-17,2816,Credit Card,Success
54,1054,2026-02-23,2360,Credit Card,Success
55,1055,2026-03-09,2546,UPI,Success
56,1056,2025-10-17,3844,Cash,Success
57,1057,2026-04-18,3699,Debit Card,Success
58,1058,2026-03-12,2182,Credit Card,Success
59,1059,2026-05-30,4575,UPI,Success
60,1060,2026-02-11,1368,Credit Card,Pending
61,1061,2026-05-29,2535,Cash,Failed
62,1062,2026-05-20,2766,UPI,Success
63,1063,2025-10-20,5436,Cash,Success
64,1064,2026-05-30,2228,Debit Card,Failed
65,1065,2026-07-09,3082,Debit Card,Success
66,1066,2025-12-31,3716,Cash,Failed
67,1067,2026-07-03,2931,UPI,Pending
68,1068,2026-04-25,1892,Credit Card,Failed
69,1069,2025-09-19,766,Credit Card,Success
70,1070,2026-04-13,689,Cash,Success
71,1071,2025-11-14,3897,Debit Card,Success
72,1072,2025-08-12,3131,UPI,Pending
73,1073,2025-08-08,1690,Debit Card,Failed
74,1074,2025-09-07,2852,Credit Card,Pending
