review_id,customer_id,restaurant_id,rating,review_text,review_date
1,375,3,3.4,Good taste,2026-04-08
2,349,13,4.4,Highly recommended,2026-07-04
3,463,6,4.8,Highly recommended,2025-07-25
4,454,16,3.4,Fast delivery,2026-02-17
5,431,14,3.7,Loved it,2025-09-02
6,268,25,3.3,Worth the money,2025-07-24
7,363,4,4.8,Excellent food,2025-10-17
8,333,22,3.5,Good taste,2025-10-31
9,163,15,3.9,Nice packaging,2026-01-11
10,34,10,4.0,Will order again,2025-12-05
11,479,29,4.5,Loved it,2025-07-29
12,69,21,4.0,Food was okay,2026-01-04
13,187,3,4.1,Food was okay,2026-06-18
14,423,20,4.1,Food was okay,2026-05-04
15,332,1,3.6,Will order again,2025-07-28
16,347,26,3.6,Amazing experience,2026-07-04
17,430,23,3.2,Worth the money,2026-04-05
18,243,26,4.3,Highly recommended,2025-10-26
19,97,15,4.6,Worth the money,2026-06-20
20,289,4,4.2,Amazing experience,2026-04-02
21,128,8,3.9,Excellent food,2025-08-27
22,250,1,3.6,Amazing experience,2026-01-19
23,425,23,4.3,Worth the money,2025-10-26
24,225,15,3.4,Nice packaging,2026-01-05
25,332,27,3.9,Highly recommended,2025-09-02
26,190,18,3.7,Good taste,2026-05-03
27,450,2,3.5,Amazing experience,2026-04-01
28,388,24,4.1,Highly recommended,2026-04-14
29,172,12,3.4,Nice packaging,2025-09-03
30,427,6,3.1,Nice packaging,2025-10-11
31,23,24,3.9,Nice packaging,2026-06-04
32,31,6,3.9,Highly recommended,2026-06-28
33,294,18,4.7,Good taste,2026-04-16
34,323,16,3.2,Will order again,2026-06-17
35,472,30,3.0,Amazing experience,2025-12-14
36,267,10,3.2,Highly recommended,2025-11-21
37,269,17,3.7,Nice packaging,2025-08-13
38,289,7,4.6,Food was okay,2026-06-07
39,354,30,4.9,Will order again,2025-09-08
40,382,30,4.6,Excellent food,2025-11-07
41,19,15,3.3,Excellent food,2026-04-05
42,45,6,3.8,Food was okay,2026-04-08
43,388,14,4.8,Highly recommended,2026-04-28
44,260,27,3.8,Excellent food,2026-06-20
45,268,17,3.8,Worth the money,2026-04-11
